,ARMA,ELM,ARMA+ELM,MLP,ARMA+MLP,ESN,ARMA+ESN,RBF,ARMA+RBF,ACTUAL
2019-02-20 12:00:00,3.556883809539774,4.69645471131701,4.072036586268911,4.246401,3.9392003988952426,4.110001545750562,3.719869175739884,3.7538476,3.607357499572733,4.179
2019-02-20 13:00:00,3.612968097888314,4.401506083704266,4.338368421524691,4.204411,4.041780124865853,4.103460529559691,4.545784523420194,4.242788,4.4990059244264,2.248
2019-02-20 14:00:00,2.7528745139284276,3.643427351559142,3.386911985984662,3.3078566,3.1031638587160253,3.155843243046261,3.2988205817887635,3.6260185,3.3338934386415624,1.801
2019-02-20 15:00:00,2.0631639546126705,3.6396190621654045,2.6826942828034475,3.067615,2.424720961448608,2.7772963171156086,2.64378730764309,3.5347357,2.7852704113692623,3.545
2019-02-20 16:00:00,2.851140199926403,4.350828996820548,3.4782674276194228,3.9384668,3.140838800695446,3.6387059742475945,3.3030947017264514,3.6229823,3.006819902685192,2.295
2019-02-20 17:00:00,2.8351475870044545,3.8131564810922622,3.276723533289142,3.210595,2.946456161680968,3.0234273925475956,3.3455501792858393,3.2438364,2.920316425505431,3.525
2019-02-20 18:00:00,3.548889999350582,3.760041002085298,4.043773987639901,3.7100456,3.6492384719457966,3.589421668193735,3.736236233788543,3.9252982,3.6161125945654256,2.37
2019-02-20 19:00:00,3.0582032753907322,4.040157491896183,3.805082452733653,3.4072669,3.440956170745957,3.141407035524517,3.5742890362903283,3.5405667,3.3738704277955174,3.571
2019-02-20 20:00:00,3.3379237071894843,3.9486118474582392,3.883713920146818,3.8156152,3.6524545566462714,3.6697455097856353,3.565473781801788,4.057557,4.254230679693146,2.84
2019-02-20 21:00:00,3.066957910469694,3.779346309646027,3.7522280303810485,3.4437077,3.3570522860800454,3.261630657146744,3.8411938096571356,3.3966286,3.794755895546598,1.749
2019-02-20 22:00:00,2.1308527112904168,2.549093513995613,2.5634403212288284,2.692267,2.403781426042614,2.5269708446827375,2.6600279009000714,2.2303886,2.0316186071339226,1.029
2019-02-20 23:00:00,1.5195124047665773,1.961095084901209,2.1696892385248736,2.1670368,1.7809021371274172,1.90740600314296,2.081717237299479,2.1752594,1.647396792736548,1.35
2019-02-21 00:00:00,1.832105999697498,2.1755188953653914,2.408709651886696,2.2230937,2.0851401145351445,2.0847110628639927,2.22633314770539,2.775873,2.2166684920681035,1.655
2019-02-21 01:00:00,2.2607356259832785,2.523232111148028,2.712558597819187,2.5741103,2.449961776495974,2.577381566995388,2.488454774455064,2.8653917,2.6634694287786886,1.731
